"ID","Title","Keywords","FirstLevel"
"9","KMDL - Capturing, Analysing and Improving Knowledge-Intensive Business Processes","Process-oriented Knowledge Management,knowledge-intensive Business Processes,Knowledge Modeling Description Language,K-Modeler","H"
"9","KMDL - Capturing, Analysing and Improving Knowledge-Intensive Business Processes","Process-oriented Knowledge Management,knowledge-intensive Business Processes,Knowledge Modeling Description Language,K-Modeler","I"
"10","The Role of Knowledge Management Solutions in Enterprise Business Processes","knowledge management,business process,enterprises,software tools,market research","A"
"10","The Role of Knowledge Management Solutions in Enterprise Business Processes","knowledge management,business process,enterprises,software tools,market research","H"
"11","Modeling Knowledge Work for the Design of Knowledge Infrastructures","activity theory,business process management,knowledge infrastructure,knowledge management instrument,knowledge stance,knowledge work,modeling,process","H"
"13","A Knowledge Infrastructure Hierarchy Model for Call-Centre Processes","knowledge management,information systems,data bases","H"
"14","Process Oriented Knowledge Management: A Service Based Approach","knowledge management service,knowledge management process","H"
"15","Formal Construction of a Non-blocking Concurrent Queue Algorithm","atomicity,concurrency,refinement,formal proof,prover","D"
"17","Investigating Atomicity and Observability","observability,refinement of atomicity,formal development method","F"
"18","Relaxing Atomicity and Verifying Correctness: Considering the Case of an Asynchronous Communication Mechanism","asynchronous communication,process algebra,relaxation of atomicity,verification","F"
"19","Precise Modelling of Compensating Business Transactions and its Application to BPEL","long-runn,ing transactions,compensation,language semantics,formal specification,B method","D"
"19","Precise Modelling of Compensating Business Transactions and its Application to BPEL","long-runn,ing transactions,compensation,language semantics,formal specification,B method","F"
"19","Precise Modelling of Compensating Business Transactions and its Application to BPEL","long-runn,ing transactions,compensation,language semantics,formal specification,B method","H"
"20","Replication: Understanding the Advantage of Atomic Broadcast over Quorum Systems","atomic broadcast,quorum systems,replication,isolation","C"
"20","Replication: Understanding the Advantage of Atomic Broadcast over Quorum Systems","atomic broadcast,quorum systems,replication,isolation","D"
"21","The Atomic Manifesto","atomicity,transactions,dependability,formal methods,hardware,programming languages","A"
"22","On Atomicity and Software Development","atomicity,software development,concurrency,UML,OCL,transactions,monitors","D"
"23","Atomicity as a First-Class System Provision","atomicity,transactions,transactional memory,cache coherence","C"
"24","Semi-Automatic Visual Subgroup Mining using VIKAMINE","subgroup mining,visualization,data analysis,data mining","H"
"24","Semi-Automatic Visual Subgroup Mining using VIKAMINE","subgroup mining,visualization,data analysis,data mining","I"
"25","Visualizing Recommendation Flow on Social Network","reputation,social network,visualizing information flow","H"
"25","Visualizing Recommendation Flow on Social Network","reputation,social network,visualizing information flow","J"
"26","Visualization of High-dimensional Data via Orthogonal Curves","grand tour methods,Andrews' curves,exploratory data analysis,visual clustering","H"
"26","Visualization of High-dimensional Data via Orthogonal Curves","grand tour methods,Andrews' curves,exploratory data analysis,visual clustering","I"
"27","Integrating Lite-Weight but Ubiquitous Data Mining into GUI Operating Systems","data mining,visualization,icon","H"
"28","Connecting Segments for Visual Data Exploration and Interactive Mining of Decision Rules","data mining,visual data exploration,connecting segments","E"
"28","Connecting Segments for Visual Data Exploration and Interactive Mining of Decision Rules","data mining,visual data exploration,connecting segments","H"
"29","Visualization and Manipulation of Incomplete and Uncertain Dependencies by Decision Diagrams","data mining,decision diagrams,incompletely specified functions,minimization","F"
"29","Visualization and Manipulation of Incomplete and Uncertain Dependencies by Decision Diagrams","data mining,decision diagrams,incompletely specified functions,minimization","I"
"30","Gravi++: Interactive Information Visualization to Explore Highly Structured Temporal Data","interactive information visualization,temporal data,medical domain","H"
"30","Gravi++: Interactive Information Visualization to Explore Highly Structured Temporal Data","interactive information visualization,temporal data,medical domain","J"
"31","Scalable Visual Data Exploration of Large Data Sets via MultiResolution","visual data exploration,visualization technique,multiresolution","H"
"34","Physically Locating Wireless Intruders","Wireless,intrusion detection system,802.11,antenna","D"
"35","A Reference Model for Security Level Evaluation: Policy and Fuzzy Techniques","Policy,Public Key Infrastructure,Security Evaluation,Fuzzy Techniques   K.6.5,K.4.2","K"
"36","Increasing Robustness of LSB Audio Steganography by Reduced Distortion LSB Coding","audio steganography,LSB coding,data hiding   H.5.1","D"
"36","Increasing Robustness of LSB Audio Steganography by Reduced Distortion LSB Coding","audio steganography,LSB coding,data hiding   H.5.1","H"
"37","ProtoMon: Embedded Monitors for Cryptographic Protocol Intrusion Detection and Prevention","Computer Security,Intrusion Detection,Cryptographic Protocol Abuse","C"
"37","ProtoMon: Embedded Monitors for Cryptographic Protocol Intrusion Detection and Prevention","Computer Security,Intrusion Detection,Cryptographic Protocol Abuse","D"
"37","ProtoMon: Embedded Monitors for Cryptographic Protocol Intrusion Detection and Prevention","Computer Security,Intrusion Detection,Cryptographic Protocol Abuse","K"
"38","Sliding Window Protocol for Secure Group Communication in Ad-Hoc Networks","Ad Hoc Network,DSR Routing Protocol,Re-keying performance,Secure Group Communications","C"
"38","Sliding Window Protocol for Secure Group Communication in Ad-Hoc Networks","Ad Hoc Network,DSR Routing Protocol,Re-keying performance,Secure Group Communications","D"
"38","Sliding Window Protocol for Secure Group Communication in Ad-Hoc Networks","Ad Hoc Network,DSR Routing Protocol,Re-keying performance,Secure Group Communications","I"
"39","Software/Hardware Co-Design of Efficient and Secure Cryptographic Hardware","Evolutionary Computation,Co-Design,Genetic  Algorithm,Cryptography,Addition-Chain","H"
"40","RSA-based Certified Delivery of E-Goods Using Verifiable and Recoverable Signature Encryption","certified delivery,non-repudiation,fair exchange,security protocols","C"
"40","RSA-based Certified Delivery of E-Goods Using Verifiable and Recoverable Signature Encryption","certified delivery,non-repudiation,fair exchange,security protocols","D"
"40","RSA-based Certified Delivery of E-Goods Using Verifiable and Recoverable Signature Encryption","certified delivery,non-repudiation,fair exchange,security protocols","K"
"41","Information Quality Assurance by Lazy Exploration of Information Source Combinations Space in Open Multi-Agent Systems","multi-agent systems,agent,information quality","H"
"41","Information Quality Assurance by Lazy Exploration of Information Source Combinations Space in Open Multi-Agent Systems","multi-agent systems,agent,information quality","I"
"42","Low-Intrusive Consistent Disk Checkpointing: A Tool for Digital Forensics","Checkpointing,Backup,Consistency,Snapshot,Digital  Forensics,File system,Operating System","D"
"43","A Novel Scheme for Secured Data Transfer Over Computer Networks","Data Protection,Perfect Secrecy,Information Theory,Security algorithm,Key management,One-time Pad","E"
"44","Gossip Codes for Fingerprinting: Construction, Erasure Analysis and Pirate Tracing","coding and information theory,multimedia information system,digital libraries","H"
"45","Creation of Information Profiles in Distributed Databasesas a Game Problem","distributed databases,information resources,information market,game theory,strategy of database managers","H"
"45","Creation of Information Profiles in Distributed Databasesas a Game Problem","distributed databases,information resources,information market,game theory,strategy of database managers","I"
"45","Creation of Information Profiles in Distributed Databasesas a Game Problem","distributed databases,information resources,information market,game theory,strategy of database managers","K"
"46","An Application of the DEDS Control Synthesis Method","control synthesis,discrete event dynamic systems (DEDS)","G"
"46","An Application of the DEDS Control Synthesis Method","control synthesis,discrete event dynamic systems (DEDS)","H"
"46","An Application of the DEDS Control Synthesis Method","control synthesis,discrete event dynamic systems (DEDS)","I"
"47","Structural Tendencies in Complex Systems Development and their Implication for Software Systems","complex systems,adaptable architectures,software life cycle","C"
"47","Structural Tendencies in Complex Systems Development and their Implication for Software Systems","complex systems,adaptable architectures,software life cycle","D"
"47","Structural Tendencies in Complex Systems Development and their Implication for Software Systems","complex systems,adaptable architectures,software life cycle","G"
"47","Structural Tendencies in Complex Systems Development and their Implication for Software Systems","complex systems,adaptable architectures,software life cycle","H"
"47","Structural Tendencies in Complex Systems Development and their Implication for Software Systems","complex systems,adaptable architectures,software life cycle","K"
"48","Collaborative Web Browsing Based on Semantic Extraction of User Interests with Bookmarks","Web browsing,collaborative works,ontology","H"
"49","The Language Grounding Problem and its Relation to the Internal Structure of Cognitive Agents","language grounding,communication,cognitive agent,formula satisfaction,modal logic","H"
"50","RankFeed - Recommendation as Searching without Queries: New Hybrid Method of Recommendation","recommendation,information retrieval,Web mining,personalization,adaptive systems,ROSA","H"
"52","Processing Inconsistency of Knowledge on Semantic Level","inconsistent knowledge,conflicts,consensus methods","E"
"52","Processing Inconsistency of Knowledge on Semantic Level","inconsistent knowledge,conflicts,consensus methods","H"
"52","Processing Inconsistency of Knowledge on Semantic Level","inconsistent knowledge,conflicts,consensus methods","I"
"53","Consensus-Based Hybrid Adaptation of Web Systems User Interfaces","user interfaces,hybrid adaptation,Web-based systems,consensus methods","H"
"54","A Provably Efficient Computational Model For Approximate Spatiotemporal Retrieval","spatiotemporal databases,spatiotemporal data modeling,spatiotemporal data structures,range queries of high dimensionality","H"
"55","Time Costs in Actor Computations","actor computations,execution time,parallel computations,implementation constraints","C"
"55","Time Costs in Actor Computations","actor computations,execution time,parallel computations,implementation constraints","D"
"56","Analysis, Design, and Performance Evaluation of MS-RTCP: More Scalable Scheme for the Real-Time Control Protocol","RTCP scalability,distributed management,multimedia protocols,multimedia communication","C"
"57","Automatic Test Data Generation for Data Flow Testing Using a Genetic Algorithm","software testing,automatic test data generation,data flow testing,Genetic algorithms","D"
"57","Automatic Test Data Generation for Data Flow Testing Using a Genetic Algorithm","software testing,automatic test data generation,data flow testing,Genetic algorithms","K"
"58","On Theoretical Upper Bound for Routing Estimation","global routing,algorithms,CAD,integrated circuits","B"
"58","On Theoretical Upper Bound for Routing Estimation","global routing,algorithms,CAD,integrated circuits","F"
"59","Fine-Grained Transclusions of Multimedia Documents in HTML","hypermedia,transclusions,xanalogical structure,authoring systems,publishing systems,web-based applications,multimedia","H"
"60","On Complexity of Collective Communications on a Fat Cube Topology","interconnection networks,fat cube topology,router architecture,collective communications","H"
"61","TESTAF: A Test Automation Framework for Class Testing using Object-Oriented Formal Specifications","automated testing,formal specification,object-oriented software","D"
"62","A Provably Secure and Efficient Verifiable Shuffle based on a Variant of the Paillier Cryptosystem","privacy,verifiable s,huffles,mix-nets,Paillier's public-key system","E"
"63","Exploiting Agent Ontologies in B2C Virtual Marketplaces","intelligent agent technology,agent ontology,b2c e-commerce","H"
"64","Domain Extenders for UOWHF: A Finite Binary Tree Algorithm","UOWHF,hash function,binary tree","E"
"65","Model Checking, Automated Abstraction, and Compositional Verification of Rebeca Models","actor model,reactive systems,model checking,modular verification,abstraction techniques","D"
"66","A Fast T-decomposition Algorithm","T-decomposition,computable complexity measures,parsing,entropy","E"
"67","Collect the Fitted Surfaces into Complex Based on C<sup>0</sup> Continuity","surface reconstruction,reverse engineering,surface fitting","I"
"69","How to Draw Free Trees Inside Bounded Simple Polygons","computational geometry,graph drawing,simulated annealing,free trees,straight skeleton","G"
"69","How to Draw Free Trees Inside Bounded Simple Polygons","computational geometry,graph drawing,simulated annealing,free trees,straight skeleton","I"
"71","A Constructive Approach to Language Definition","semantics of programming languages,action semantics,structural operational semantics,modularity","D"
"71","A Constructive Approach to Language Definition","semantics of programming languages,action semantics,structural operational semantics,modularity","F"
"72","Hardware Design and Functional Programming: a Perfect Match","functional programming,hardware description languages,arithmetic and logic structures,circuit generation","B"
"73","The Implementation of Lua 5.0","compilers,virtual machines,hash t,ables,closures,coroutines","D"
"73","The Implementation of Lua 5.0","compilers,virtual machines,hash t,ables,closures,coroutines","E"
"74","AspectLua - A Dynamic AOP Approach","AOP,MOP,Lua,dynamic aspects,reflection","D"
"75","A Formal Semantics for Finalizers","memory management,garbage collection,finalization,semantics","D"
"75","A Formal Semantics for Finalizers","memory management,garbage collection,finalization,semantics","F"
"76","PEWS: A New Language for Building Web Service Interfaces","programming languages,web services,formal semantics","C"
"76","PEWS: A New Language for Building Web Service Interfaces","programming languages,web services,formal semantics","D"
"77","Compiling NonÂ­strict Functional Languages for the .NET Platform",".NET,languages interoperability,virtual machines,functional programming,compilers,Haskell","D"
"78","Running Lua Scripts on the CLR through Bytecode Translation","virtual machines,compilers,common language runtime,bytecodes","D"
"79","An Experimental Evaluation of JAVA JIT Technology","dynamic compilation,just-in-time compiler,compiler optimizations","C"
"79","An Experimental Evaluation of JAVA JIT Technology","dynamic compilation,just-in-time compiler,compiler optimizations","D"
"80","Signals and Comonads","comonads,distributive laws,stream functions,dataflow computation","D"
"80","Signals and Comonads","comonads,distributive laws,stream functions,dataflow computation","F"
"81","An Equational Specification for the Scheme Language","formal and executable semantics,equational specification,program analysis","D"
"82","mHaskell: Mobile Computation in a Purely Functional Language","mobile computation,,programming languages,functional programming,Haskell","D"
"83","Learning Decision Trees from Dynamic Data Streams","data streams,incremental decision trees,concept drift","H"
"83","Learning Decision Trees from Dynamic Data Streams","data streams,incremental decision trees,concept drift","I"
"84","Resource-aware Mining of Data Streams","data mining,data stream,clustering,resource-aware computing","H"
"85","Network Attack Scenarios Extraction and Categorization by Mining IDS Alert Streams","network security,,intrusion detection,first-order logics,resolution","I"
"86","Semantic Preprocessing of Web Request Streams for Web Usage Mining","Web usage mining,semantic analysis,browsing patterns","H"
"86","Semantic Preprocessing of Web Request Streams for Web Usage Mining","Web usage mining,semantic analysis,browsing patterns","I"
"87","Evaluating Trigger Conditions on Streaming Time Series with User-given Quality Requirements","QoS (Quality of Service),trigger,streaming time series,prediction model","H"
"88","Online Mining Changes of Items over Continuous Append-only and Dynamic Data Streams","data streams,change mining,single-pass algorithm","H"
"89","Incremental Rule Learning and Border Examples Selection from Numerical Data Streams","classification,decision rules,incremental learning,concept drift,data streams","H"
"89","Incremental Rule Learning and Border Examples Selection from Numerical Data Streams","classification,decision rules,incremental learning,concept drift,data streams","I"
"91","New Bounds for Positive Roots of Polynomials","roots of polynomial equations,bounds for positive roots","F"
"91","New Bounds for Positive Roots of Polynomials","roots of polynomial equations,bounds for positive roots","G"
"94","Constructive Suprema","constructive mathematics,partially ordered set,supremum","F"
"95","Constructive Equivalents of the Uniform Continuity Theorem","constructive mathematics,reverse mathematics,uniform continuity","F"
"95","Constructive Equivalents of the Uniform Continuity Theorem","constructive mathematics,reverse mathematics,uniform continuity","G"
"96","Computability of the Spectrum of Self-Adjoint Operators","computable functional analysis","F"
"96","Computability of the Spectrum of Self-Adjoint Operators","computable functional analysis","G"
"97","Algorithmic Irreducibility in a Cellular Automata Universe","halting probability Omega,cellular automaton","F"
"98","Constructive Analysis of Iterated Rational Functions","constructive analysis,iteration of rational functions","F"
"98","Constructive Analysis of Iterated Rational Functions","constructive analysis,iteration of rational functions","G"
"99","Formal Topology and Constructive Mathematics: the Gelfand and Stone-Yosida Representation Theorems","formal topology,constructive mathematics,Riesz space,f-algebra,axiom of choice","F"
"99","Formal Topology and Constructive Mathematics: the Gelfand and Stone-Yosida Representation Theorems","formal topology,constructive mathematics,Riesz space,f-algebra,axiom of choice","G"
"101","Axiomatic Classes of Intuitionistic Models","intuitionistic logic,Kripke model,bisimulation,disjoint union,prime filter,ultraproduct,iterated ultrapower,saturated model","F"
"102","On Firmness of the State Space and Positive Elements of a Banach Algebra","Banach algebra,constructive mathematics,state space,Hermitian elements,positive elements","F"
"103","Nonrandom Sequences between Random Sequences","algorithmic information theory,algorithmic randomness,random binary sequences,random sets","F"
"103","Nonrandom Sequences between Random Sequences","algorithmic information theory,algorithmic randomness,random binary sequences,random sets","H"
"104","Permutability of Rules for Linear Lattices","lattice theory,proof analysis,decidability","F"
"105","Quotient Spaces and Coequalisers in Formal Topology","locales,coequalisers,quotients,formal topology,predicativit,constructive topology","F"
"106","Constructive Set Theory and Brouwerian Principles","constructive set theory,Brouwerian principles,partial combinatory algebra,realizability","F"
"107","Constructing Programs or Processes","process algebra,determinism,cause,refinement,constructive","F"
"108","Constructive Aspects of Markov Chains","Markov chains,constructive","F"
"109","On the Meaning of Positivity Relations for Regular Formal Spaces","formal topology,positivity relation,formal spaces,formal reals,regular formal topologies","F"
"110","Functional Dependencies with Counting on Trees","functional dependencies,compl,ex value databases,counting attributes,axiomatisation","F"
"110","Functional Dependencies with Counting on Trees","functional dependencies,compl,ex value databases,counting attributes,axiomatisation","H"
"111","What is Continuity, Constructively?","continuity,constructive mathematics","F"
"113","Constructive Results on Operator Algebras","constructive mathematics,operator theory,Hilbert spaces","F"
"114","Hausdorff Measure and Lukasiewicz Languages","iterated function system,attractor,fractals,Hausdorff measure,Cantor space,omega-languages,fractals,simple deterministic languages","F"
"115","How the Mathematical Objects Determine the Mathematical Principles","constructive analysis,iteration of rational functions","F"
"115","How the Mathematical Objects Determine the Mathematical Principles","constructive analysis,iteration of rational functions","G"
"116","Perhaps the Intermediate Value Theorem","intuitionistic real analysis,intermediate value theorem,perhaps","G"
"117","A Constructive Approach to Sylvester's Conjecture","Sylvester's conjecture,constructive geometry,ordered geometry","F"
"118","Sequential Computability of a Function. Effective Fine Space and Limiting Recursion","Effective Fine Space,Weakly Fine-computable Sequence,Fine-sequential Computability of a Function,Effective Fine-continuous Function,Limiting Recursion","F"
"118","Sequential Computability of a Function. Effective Fine Space and Limiting Recursion","Effective Fine Space,Weakly Fine-computable Sequence,Fine-sequential Computability of a Function,Effective Fine-continuous Function,Limiting Recursion","G"
"119","From Contents to Activities: Modelling Units of Learning","e-learning,collaborative learning,educational modelling language,unit of learning,learning object","H"
"119","From Contents to Activities: Modelling Units of Learning","e-learning,collaborative learning,educational modelling language,unit of learning,learning object","K"
"120","Semantic Web Technologies Applied to e-learning Personalization in &lt;e-aula&gt;","hypermedia systems,web-based services,XML,semantic web,multimedia","H"
"121","A Tool for the Reinforcement of Conceptual Learning: Description and Use Experiences","authoring tool,interactive exercise,conceptual learning","K"
"122","Ubiquitous Computing in the Classroom: An Approach through Identification Process","ubiquitous computing,RFID,implicit interaction,context aware","F"
"122","Ubiquitous Computing in the Classroom: An Approach through Identification Process","ubiquitous computing,RFID,implicit interaction,context aware","H"
"122","Ubiquitous Computing in the Classroom: An Approach through Identification Process","ubiquitous computing,RFID,implicit interaction,context aware","I"
"122","Ubiquitous Computing in the Classroom: An Approach through Identification Process","ubiquitous computing,RFID,implicit interaction,context aware","K"
"123","Integrating Educational Tools for Collaborative Computer Programming Learning","collaborative programming,computer programming teaching,computer programming learning,program animation,program simulation","K"
"124","From Chasqui to Chasqui II: an Evolution in the Conceptualization of Virtual Objects","e-learning,virtual object,learning object,virtual museum,LCMS,virtual campus,authoring tool,web services,LOM,SCORM,IMS","K"
"125","Authoring and Diagnosis of Learning Activities with the KADD ET Environment","learning environments,cognitive diagnosis,authoring tools,error libraries,model tracing","K"
"126","A System to Support Asynchronous Collaborative Learning Tasks Using PDAs","PDA,computer-supported collaborative learning,mobile computing,domotics","J"
"126","A System to Support Asynchronous Collaborative Learning Tasks Using PDAs","PDA,computer-supported collaborative learning,mobile computing,domotics","K"
"127","Case Studies in Tele-Education: Research and Projects","Internet,web-based services,multimedia,hypertext/hypermedia,computer uses in education","C"
"127","Case Studies in Tele-Education: Research and Projects","Internet,web-based services,multimedia,hypertext/hypermedia,computer uses in education","H"
"127","Case Studies in Tele-Education: Research and Projects","Internet,web-based services,multimedia,hypertext/hypermedia,computer uses in education","K"
"128","Integrating Ontologies into the Collaborative Authoring of Learning Objects","learning objects,metadata,ontologies,collaborative annotation","K"
"130","Analyzing Module Diversity","package,module,selector namespaces,classboxes,virtual classes,Small-talk,Java,Ruby,C#","D"
"132","Coordinating Behavioral Descriptions of Components","coordination,process algebra,modular embedding,expressiveness","D"
"133","From Algebras to Objects: Generation and Composition","software formal specification,objectÂ­orientation,object composition","D"
"134","A Non-Invasive Approach to Assertive and Autonomous Dynamic Component Composition in the Service-Oriented Paradigm","dynamic component composition,Service Oriented Architecture,Web Services,assertive composition,autonomous composition,intermediate code manipulation,aspect-oriented programming,aspect weaving,.NET,Common Language Runtime","D"
"134","A Non-Invasive Approach to Assertive and Autonomous Dynamic Component Composition in the Service-Oriented Paradigm","dynamic component composition,Service Oriented Architecture,Web Services,assertive composition,autonomous composition,intermediate code manipulation,aspect-oriented programming,aspect weaving,.NET,Common Language Runtime","H"
"134","A Non-Invasive Approach to Assertive and Autonomous Dynamic Component Composition in the Service-Oriented Paradigm","dynamic component composition,Service Oriented Architecture,Web Services,assertive composition,autonomous composition,intermediate code manipulation,aspect-oriented programming,aspect weaving,.NET,Common Language Runtime","I"
"135","Probabilistic Models for Reo Connector Circuits","probabilistic constraint automata,Reo,coordination,composition,Markov decision process,bisimulation","D"
"135","Probabilistic Models for Reo Connector Circuits","probabilistic constraint automata,Reo,coordination,composition,Markov decision process,bisimulation","F"
"135","Probabilistic Models for Reo Connector Circuits","probabilistic constraint automata,Reo,coordination,composition,Markov decision process,bisimulation","G"
"136","Modular Verification of a Component-Based Actor Language","actor model,reactive systems,Rebeca,component,modular verification","D"
"136","Modular Verification of a Component-Based Actor Language","actor model,reactive systems,Rebeca,component,modular verification","F"
"137","The Effect of Personality-Aware Computer-Human Interfaces on Learning","Human-Computer Interaction,e-learning,Myers-Briggs Type Indicator,MBTI","H"
"137","The Effect of Personality-Aware Computer-Human Interfaces on Learning","Human-Computer Interaction,e-learning,Myers-Briggs Type Indicator,MBTI","K"
"138","Situated Models and Metadata for Learning Management","eLearning,metadata,situated learning","K"
"139","User Context Aware Delivery of E-Learning Material: Approach and Architecture","e-learning,learning objects,user context-aware retrieval,ontologies","H"
"139","User Context Aware Delivery of E-Learning Material: Approach and Architecture","e-learning,learning objects,user context-aware retrieval,ontologies","K"
"140","Intercultural Factors in Web-based Training Systems","user interface design,usage-centered design,knowledge management,Web-based training,interaction patterns,cross-cultural/intercultural factors","H"
"140","Intercultural Factors in Web-based Training Systems","user interface design,usage-centered design,knowledge management,Web-based training,interaction patterns,cross-cultural/intercultural factors","J"
"141","Discovering Student Models in e-learning Systems","e-learning,learning objects,user context","K"
"142","Experiences with Adaptive User and Learning Models in eLearning Systems for Higher Education","CSCL,adaptive, eLearning,user modeling,learning models","H"
"143","Game-Based Learning in Universities and Lifelong Learning: ""UniGame: Social Skills and Knowledge Training"" Game Concept","education,collaborative learning,constructivism,game-based learning,game,motivation","H"
"143","Game-Based Learning in Universities and Lifelong Learning: ""UniGame: Social Skills and Knowledge Training"" Game Concept","education,collaborative learning,constructivism,game-based learning,game,motivation","I"
"143","Game-Based Learning in Universities and Lifelong Learning: ""UniGame: Social Skills and Knowledge Training"" Game Concept","education,collaborative learning,constructivism,game-based learning,game,motivation","K"
"144","The Role of Adaptation and Personalisation in Classroom-Based Learning and in e-Learning","learning,teaching,personalisation","H"
"144","The Role of Adaptation and Personalisation in Classroom-Based Learning and in e-Learning","learning,teaching,personalisation","I"
"146","A Message-Optimal Distributed Graph Algorithm: Partial Precedence Constrained Scheduling","distributed algorithm,directed graph,scheduling,task,precedence constraints","F"
"146","A Message-Optimal Distributed Graph Algorithm: Partial Precedence Constrained Scheduling","distributed algorithm,directed graph,scheduling,task,precedence constraints","G"
"147","A Rapid Prototyping Environment for Multi-DSP Systems based on Accurate Performance Prediction","rapid prototyping,scheduling,performance prediction,multi-DSP,embedded systems,data flow","B"
"147","A Rapid Prototyping Environment for Multi-DSP Systems based on Accurate Performance Prediction","rapid prototyping,scheduling,performance prediction,multi-DSP,embedded systems,data flow","C"
"147","A Rapid Prototyping Environment for Multi-DSP Systems based on Accurate Performance Prediction","rapid prototyping,scheduling,performance prediction,multi-DSP,embedded systems,data flow","D"
"148","Securing Web-Based Exams","web-based exam,assessment,security,supervision,fraud prevention","K"
"150","Facilitating Knowledge Exchange and Decision Making within Learning Networks","learning networks,learning management system,communities of practice,broker","I"
"151","Managing the KM Trade-Off: Knowledge Centralization versus Distribution","intellectual capital,knowledge markets,mental models,communities of practice,retrospective rationality,bounded rationality,constructivism,organizational trade-offs","A"
"151","Managing the KM Trade-Off: Knowledge Centralization versus Distribution","intellectual capital,knowledge markets,mental models,communities of practice,retrospective rationality,bounded rationality,constructivism,organizational trade-offs","H"
"152","Knowledge Nodes: the Reification of Organizational Communities. The Pizzarotti Case Study","distributed knowledge management,communities,knowledge nodes","C"
"152","Knowledge Nodes: the Reification of Organizational Communities. The Pizzarotti Case Study","distributed knowledge management,communities,knowledge nodes","H"
"153","OntoShare - An Ontology-based Knowledge Sharing System for virtual Communities of Practice","knowledge sharing community,semantic web","H"
"154","Participative Process Introduction: Three Case Studies From the indiGo Project","distributed participative process evolution,process introduction,process improvement,process inspection,eParticipative Process Learning,indigo","D"
"154","Participative Process Introduction: Three Case Studies From the indiGo Project","distributed participative process evolution,process introduction,process improvement,process inspection,eParticipative Process Learning,indigo","H"
"154","Participative Process Introduction: Three Case Studies From the indiGo Project","distributed participative process evolution,process introduction,process improvement,process inspection,eParticipative Process Learning,indigo","K"
"155","Communities of Practice: An Integrated Technology Perspective","communities of practice,knowledge management,e-Learnin,g,information technology,intranet,extranet,personalization,enterprise content management","A"
"155","Communities of Practice: An Integrated Technology Perspective","communities of practice,knowledge management,e-Learnin,g,information technology,intranet,extranet,personalization,enterprise content management","C"
"155","Communities of Practice: An Integrated Technology Perspective","communities of practice,knowledge management,e-Learnin,g,information technology,intranet,extranet,personalization,enterprise content management","H"
"155","Communities of Practice: An Integrated Technology Perspective","communities of practice,knowledge management,e-Learnin,g,information technology,intranet,extranet,personalization,enterprise content management","K"
"156","Against Hierarchy and Chaos Knowledge Coproduction in Nets of Experts","communities of practice,nets of experts,case study,Siemens,Volkswagen,Deutsche Telekom,WiKo","K"
